Review,Rating,Date
포켓몬 마스터가 되기엔 너무나 충분한 바지입니다!,5,22.10.28
브랜디드에서 연청와이드데님이 나와줘서 고맙습니다,5,20.09.13
허리가 딱 맞아요. 색감이 화사하고 딱 이쁜 연청이에요,5,22.01.21
이뻐요 여기저기 잘 입을것같네오 바지는 브랜디드,5,20.09.11
그냥 찍기 뻘줌해서 악력기 들고 찍었어여 이쁘게 봐주세요,5,21.05.17
이뻐요 여기저기 잘 입을것같네오 바지는 브랜디드,5,20.09.11
그냥 찍기 뻘줌해서 악력기 들고 찍었어여 이쁘게 봐주세요,5,21.05.17
