브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,바지 가성비 갑! 여기저기 편하게 어울립니다,0,24.10.06
무신사스탠다드,2028327,골반에 걸쳐입기 좋아요 무난하니 보이핏 데님으로 딱이에요,0,24.09.30
무신사스탠다드,2028327,핏도 예쁘고 어디에나 무난하게 입기 좋아요,0,24.09.29
무신사스탠다드,2028327,길이도 짧지 않고 밑단 허리둘레도 딱입니다. 완전 강추해여,0,24.09.29
무신사스탠다드,2028327,색감 좋고 착용감 편안하고 가격 착하고 뭐하나 나무랄게 없네요,0,24.09.28
무신사스탠다드,2028327,색감도 이쁘고 재질도 좋은것같아요 살짝 두꺼운편이에요,0,24.09.27
무신사스탠다드,2028327,색감도 이쁘고 재질도 좋은것같아요 살짝 두꺼운편이에요,0,24.09.27
무신사스탠다드,2028327,같은 상품 두번째 구매해요 가성비 아주 좋아요,0,24.09.27
무신사스탠다드,2028327,사이즈도 적당하고 제가 원하던 핏이여서 좋아요,0,24.09.26
무신사스탠다드,2028327,예쁘고 편하게 입기 좋아요 무탠다드 최고에요,0,24.09.26
무신사스탠다드,2028327,무신사 스탠다드 레귤러핏 청바지 너무 마음에 들어서 다른색 추가 구매하려 합니다,0,24.09.25
무신사스탠다드,2028327,배송 빠릅니다. 저렴합니다.<br>그리고 너무 이쁘서 좋아요,0,24.09.25
무신사스탠다드,2028327,배송빠르고 저렴하게 잘 구입했어요 색감이 예뻐요 휘뚜루마뚜루 잘입을거 같아요,0,24.09.24
무신사스탠다드,2028327,살이빠지면서 재구매했습니다<br>언제나 갓성비 바지로 즐겨입어요!,0,24.09.23
무신사스탠다드,2028327,연청계열이 필요했는데 세일기간이라 저렴한 가격에 잘 샀어요<br>상의는 어떤 색감이랑 매칭해도 다 잘 어울려요<br>가을에 잘 맞는 두께감이라 여름 지나면 잘 입고 다닐 수 있겠어요,0,24.09.23
무신사스탠다드,2028327,#무신사 #무탠다드 #스트레이트데님,0,24.09.23
무신사스탠다드,2028327,#무신사스탠다드 #hdex,0,24.09.23
무신사스탠다드,2028327,,0,24.09.22
무신사스탠다드,2028327,핏도 잘 떨어지고 길이도 적당히 좋습니다,0,24.09.22
무신사스탠다드,2028327,기장은 조금 수선해야했지만 전체적으로 잘 맞았습니다,0,24.09.21
무신사스탠다드,2028327,허벅지가 생각보다 좁게 나왔습니다.<br>179에 80kg기준으로 33사이즈가 딱 맞습니다.<br>핏 예뻐요,0,24.09.21
무신사스탠다드,2028327,두번째 구매 입니다. 모든 옷에 베이스가 되는 옷이라서 편하고 좋아요,0,24.09.21
무신사스탠다드,2028327,여름에 입기 약간 두껍긴한데 사계절용으로 무난합니다<br>,0,24.09.21
무신사스탠다드,2028327,허벅지가 두꺼워서 청바지 사면 맨날 핏이 이상하게 떨어지는데 요건 딱 떨어저서 좋아요,0,24.09.21
무신사스탠다드,2028327,타 무신사 슬랙스 샀을때 참고해서 허벅지 기준으로 사이즈를 구매했는데 엉덩이쪽이 좀 낍니다 저는<br>(허벅지둘레÷2) + 2 로 구매했습니다 다른곳은 다 딱맞아서 바꾸기도 애매하여 좀 입다보면 늘어나서 맞지않을까<br>싶어 그냥 입기로 결정 옷자체는 이쁘고 가격대비 굉장히 맘에듭니다,0,24.09.20
무신사스탠다드,2028327,청바지 색상도 예쁘고 시원하고 편해요 믿고사는 무신사 ~,0,24.09.20
무신사스탠다드,2028327,깔끔하게 일자로 딱 떨어져서 이뻐용,0,24.09.19
