브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,무신사 스탠다드 청바지 이번에 처음 사봤는데 너무 좋아요! 여름에 입고 다니기에는 조금 두꺼운거 같습니다!,5,22.08.10
무신사스탠다드,2028327,무신사 스탠다드 청바지 이번에 처음 사봤는데 너무 좋아요! 여름에 입고 다니기에는 조금 두꺼운거 같습니다!,5,22.08.10
무신사스탠다드,2028327,스트레이트핏은 첨 사봤는데 원하는 길이랑 핏이라서 맘에 들어요!,5,22.04.20
무신사스탠다드,2028327,많이 오버핏이나 많이 와이드는 아닝ㆍ서,5,21.09.28
무신사스탠다드,2028327,기장도 딱 맞는 거 같구요 남친룩에 좋을 거 같아요. 가격도 착한게 장점이네요,5,23.07.21
무신사스탠다드,2028327,기장이 맞으면 허리가 안맞고 허리가 맞으면 기장이 안맞네요 ㅠㅠ 크게사서 줄여 입어야 할듯,3,22.08.29
무신사스탠다드,2028327,적당히 여유 있으면서도 핏하게 떨어지는 이쁜 청바지입니다! 봄에 맞게 연청 색상도 구입했는데 매우,5,22.04.24
무신사스탠다드,2028327,옷이 아주맘에 듭니다 자주 입을 예정이에요구르트,5,23.05.20
무신사스탠다드,2028327,운동해서 허벅지가 큰편이라,5,23.02.24
무신사스탠다드,2028327,이뻐요 바지 핏도좋고 색도 이뻐요 다른 색도 살거 같아요,5,22.05.16
무신사스탠다드,2028327,핏 질감 모두 완벽합니다. 허리도 딱 맞아서 벨트도 필요 없어요 번창하세요 :),5,22.04.29
무신사스탠다드,2028327,사이즈도 괜찮고 편하네요. 세탁 해도 딱히 변형도 탈색도 없어서 좋았어요,5,23.09.24
무신사스탠다드,2028327,사이즈도 괜찮고 편하네요. 세탁 해도 딱히 변형도 탈색도 없어서 좋았어요,5,23.09.24
무신사스탠다드,2028327,무게감도 적당하고 입었을 때 편해서 데일리로 있기 딱 좋은 청바지입니다. 색깔도 사진으로 보는것보다 훨씬 더,5,23.06.22
무신사스탠다드,2028327,기본템은 역시 무탠다드 인거 아시져?? 너무 만족합니다 강추!!,5,23.05.25
무신사스탠다드,2028327,배송은 역시 무척 빨랐어요.,4,23.04.01
